"","batch","type","cluster"
"Cell1","1","B","1 0"
"Cell2","1","B","1 0"
"Cell3","1","A","1 1"
"Cell4","1","A","1 1"
"Cell5","1","A","1 1"
"Cell6","1","B","1 0"
"Cell7","1","B","1 0"
"Cell8","1","A","1 1"
"Cell9","1","A","1 1"
"Cell10","1","A","1 1"
"Cell11","1","B","1 0"
"Cell12","1","A","1 1"
"Cell13","1","A","1 1"
"Cell14","1","A","1 1"
"Cell15","1","B","1 0"
"Cell16","1","A","1 1"
"Cell17","1","B","1 0"
"Cell18","1","B","1 0"
"Cell19","1","A","1 1"
"Cell20","1","B","1 0"
"Cell21","1","A","1 1"
"Cell22","1","B","1 0"
"Cell23","1","A","1 1"
"Cell24","1","A","1 1"
"Cell25","1","B","1 0"
"Cell26","1","B","1 0"
"Cell27","1","B","1 0"
"Cell28","1","B","1 0"
"Cell29","1","B","1 0"
"Cell30","1","A","1 1"
"Cell31","1","A","1 1"
"Cell32","1","B","1 0"
"Cell33","1","B","1 0"
"Cell34","1","A","1 1"
"Cell35","1","A","1 1"
"Cell36","1","B","1 0"
"Cell37","1","A","1 1"
"Cell38","1","B","1 0"
"Cell39","1","B","1 0"
"Cell40","1","A","1 1"
"Cell41","1","B","1 0"
"Cell42","1","A","1 1"
"Cell43","1","B","1 0"
"Cell44","1","A","1 1"
"Cell45","1","B","1 0"
"Cell46","1","A","1 1"
"Cell47","1","A","1 1"
"Cell48","1","B","1 0"
"Cell49","1","A","1 1"
"Cell50","1","A","1 1"
"Cell51","1","B","1 0"
"Cell52","1","A","1 1"
"Cell53","1","B","1 0"
"Cell54","1","B","1 0"
"Cell55","1","A","1 1"
"Cell56","1","B","1 0"
"Cell57","1","A","1 1"
"Cell58","1","B","1 0"
"Cell59","1","B","1 0"
"Cell60","1","A","1 1"
"Cell61","1","B","1 0"
"Cell62","1","A","1 1"
"Cell63","1","A","1 1"
"Cell64","1","B","1 0"
"Cell65","1","B","1 0"
"Cell66","1","B","1 0"
"Cell67","1","B","1 0"
"Cell68","1","B","1 0"
"Cell69","1","A","1 1"
"Cell70","1","B","1 0"
"Cell71","1","A","1 1"
"Cell72","1","A","1 1"
"Cell73","1","A","1 1"
"Cell74","1","B","1 0"
"Cell75","1","B","1 0"
"Cell76","1","B","1 0"
"Cell77","1","A","1 1"
"Cell78","1","B","1 0"
"Cell79","1","B","1 0"
"Cell80","1","A","1 1"
"Cell81","1","A","1 1"
"Cell82","1","A","1 1"
"Cell83","1","A","1 1"
"Cell84","1","B","1 0"
"Cell85","1","A","1 1"
"Cell86","1","B","1 0"
"Cell87","1","A","1 1"
"Cell88","1","B","1 0"
"Cell89","1","A","1 1"
"Cell90","1","B","1 0"
"Cell91","1","B","1 0"
"Cell92","1","A","1 1"
"Cell93","1","B","1 0"
"Cell94","1","B","1 0"
"Cell95","1","A","1 1"
"Cell96","1","B","1 0"
"Cell97","1","A","1 1"
"Cell98","1","B","1 0"
"Cell99","1","A","1 1"
"Cell100","1","B","1 0"
"Cell101","1","B","1 0"
"Cell102","1","A","1 1"
"Cell103","1","B","1 0"
"Cell104","1","A","1 1"
"Cell105","1","B","1 0"
"Cell106","1","A","1 1"
"Cell107","1","B","1 0"
"Cell108","1","B","1 0"
"Cell109","1","B","1 0"
"Cell110","1","A","1 1"
"Cell111","1","A","1 1"
"Cell112","1","B","1 0"
"Cell113","1","A","1 1"
"Cell114","1","A","1 1"
"Cell115","1","B","1 0"
"Cell116","1","B","1 0"
"Cell117","1","A","1 1"
"Cell118","1","B","1 0"
"Cell119","1","B","1 0"
"Cell120","1","A","1 1"
"Cell121","1","A","1 1"
"Cell122","1","A","1 1"
"Cell123","1","A","1 1"
"Cell124","1","B","1 0"
"Cell125","1","A","1 1"
"Cell126","1","B","1 0"
"Cell127","1","A","1 1"
"Cell128","1","B","1 0"
"Cell129","1","A","1 1"
"Cell130","1","A","1 1"
"Cell131","1","B","1 0"
"Cell132","1","A","1 1"
"Cell133","1","A","1 1"
"Cell134","1","B","1 0"
"Cell135","1","B","1 0"
"Cell136","1","A","1 1"
"Cell137","1","A","1 1"
"Cell138","1","B","1 0"
"Cell139","1","B","1 0"
"Cell140","1","A","1 1"
"Cell141","1","A","1 1"
"Cell142","1","A","1 1"
"Cell143","1","A","1 1"
"Cell144","1","B","1 0"
"Cell145","1","A","1 1"
"Cell146","1","B","1 0"
"Cell147","1","A","1 1"
"Cell148","1","B","1 0"
"Cell149","1","B","1 0"
"Cell150","1","B","1 0"
"Cell151","1","B","1 0"
"Cell152","1","B","1 0"
"Cell153","1","A","1 1"
"Cell154","1","B","1 0"
"Cell155","1","A","1 1"
"Cell156","1","A","1 1"
"Cell157","1","B","1 0"
"Cell158","1","B","1 0"
"Cell159","1","A","1 1"
"Cell160","1","B","1 0"
"Cell161","1","A","1 1"
"Cell162","1","B","1 0"
"Cell163","1","B","1 0"
"Cell164","1","B","1 0"
"Cell165","1","A","1 1"
"Cell166","1","B","1 0"
"Cell167","1","A","1 1"
"Cell168","1","A","1 1"
"Cell169","1","A","1 1"
"Cell170","1","A","1 1"
"Cell171","1","A","1 1"
"Cell172","1","B","1 0"
"Cell173","1","A","1 1"
"Cell174","1","B","1 0"
"Cell175","1","B","1 0"
"Cell176","1","B","1 0"
"Cell177","1","A","1 1"
"Cell178","1","A","1 1"
"Cell179","1","A","1 1"
"Cell180","1","A","1 1"
"Cell181","1","B","1 0"
"Cell182","1","B","1 0"
"Cell183","1","B","1 0"
"Cell184","1","A","1 1"
"Cell185","1","B","1 0"
"Cell186","1","A","1 1"
"Cell187","1","B","1 0"
"Cell188","1","B","1 0"
"Cell189","1","B","1 0"
"Cell190","1","B","1 0"
"Cell191","1","A","1 1"
"Cell192","1","A","1 1"
"Cell193","1","A","1 1"
"Cell194","1","A","1 1"
"Cell195","1","B","1 0"
"Cell196","1","A","1 1"
"Cell197","1","B","1 0"
"Cell198","1","A","1 1"
"Cell199","1","B","1 0"
"Cell200","1","A","1 1"
"Cell201","1","A","1 1"
"Cell202","1","B","1 0"
"Cell203","1","A","1 1"
"Cell204","1","A","1 1"
"Cell205","1","B","1 0"
"Cell206","1","B","1 0"
"Cell207","1","A","1 1"
"Cell208","1","A","1 1"
"Cell209","1","A","1 1"
"Cell210","1","B","1 0"
"Cell211","1","B","1 0"
"Cell212","1","A","1 1"
"Cell213","1","A","1 1"
"Cell214","1","A","1 1"
"Cell215","1","A","1 1"
"Cell216","1","B","1 0"
"Cell217","1","B","1 0"
"Cell218","1","A","1 1"
"Cell219","1","B","1 0"
"Cell220","1","B","1 0"
"Cell221","1","A","1 1"
"Cell222","1","A","1 1"
"Cell223","1","A","1 1"
"Cell224","1","A","1 1"
"Cell225","1","B","1 0"
"Cell226","1","B","1 0"
"Cell227","1","B","1 0"
"Cell228","1","A","1 1"
"Cell229","1","B","1 0"
"Cell230","1","B","1 0"
"Cell231","1","A","1 1"
"Cell232","1","B","1 0"
"Cell233","1","A","1 1"
"Cell234","1","A","1 1"
"Cell235","1","A","1 1"
"Cell236","1","B","1 0"
"Cell237","1","A","1 1"
"Cell238","1","B","1 0"
"Cell239","1","B","1 0"
"Cell240","1","A","1 1"
"Cell241","1","B","1 0"
"Cell242","1","B","1 0"
"Cell243","1","A","1 1"
"Cell244","1","A","1 1"
"Cell245","1","A","1 1"
"Cell246","1","A","1 1"
"Cell247","1","B","1 0"
"Cell248","1","B","1 0"
"Cell249","1","B","1 0"
"Cell250","1","A","1 1"
"Cell251","1","B","1 0"
"Cell252","1","B","1 0"
"Cell253","1","A","1 1"
"Cell254","1","B","1 0"
"Cell255","1","B","1 0"
"Cell256","1","A","1 1"
"Cell257","1","A","1 1"
"Cell258","1","A","1 1"
"Cell259","1","A","1 1"
"Cell260","1","A","1 1"
"Cell261","1","A","1 1"
"Cell262","1","A","1 1"
"Cell263","1","A","1 1"
"Cell264","1","B","1 0"
"Cell265","1","B","1 0"
"Cell266","1","A","1 1"
"Cell267","1","B","1 0"
"Cell268","1","A","1 1"
"Cell269","1","B","1 0"
"Cell270","1","B","1 0"
"Cell271","1","B","1 0"
"Cell272","1","A","1 1"
"Cell273","1","A","1 1"
"Cell274","1","A","1 1"
"Cell275","1","B","1 0"
"Cell276","1","B","1 0"
"Cell277","1","B","1 0"
"Cell278","1","B","1 0"
"Cell279","1","B","1 0"
"Cell280","1","B","1 0"
"Cell281","1","B","1 0"
"Cell282","1","B","1 0"
"Cell283","1","B","1 0"
"Cell284","1","B","1 0"
"Cell285","1","A","1 1"
"Cell286","1","A","1 1"
"Cell287","1","B","1 0"
"Cell288","1","A","1 1"
"Cell289","1","A","1 1"
"Cell290","1","A","1 1"
"Cell291","1","A","1 1"
"Cell292","1","A","1 1"
"Cell293","1","B","1 0"
"Cell294","1","A","1 1"
"Cell295","1","B","1 0"
"Cell296","1","A","1 1"
"Cell297","1","A","1 1"
"Cell298","1","B","1 0"
"Cell299","1","A","1 1"
"Cell300","1","B","1 0"
"Cell301","1","A","1 1"
"Cell302","1","A","1 1"
"Cell303","1","A","1 1"
"Cell304","1","B","1 0"
"Cell305","1","B","1 0"
"Cell306","1","A","1 1"
"Cell307","1","A","1 1"
"Cell308","1","B","1 0"
"Cell309","1","B","1 0"
"Cell310","1","A","1 1"
"Cell311","1","A","1 1"
"Cell312","1","A","1 1"
"Cell313","1","B","1 0"
"Cell314","1","B","1 0"
"Cell315","1","A","1 1"
"Cell316","1","A","1 1"
"Cell317","1","A","1 1"
"Cell318","1","B","1 0"
"Cell319","1","A","1 1"
"Cell320","1","B","1 0"
"Cell321","1","B","1 0"
"Cell322","1","B","1 0"
"Cell323","1","A","1 1"
"Cell324","1","A","1 1"
"Cell325","1","B","1 0"
"Cell326","1","A","1 1"
"Cell327","1","A","1 1"
"Cell328","1","A","1 1"
"Cell329","1","A","1 1"
"Cell330","1","B","1 0"
"Cell331","1","B","1 0"
"Cell332","1","B","1 0"
"Cell333","1","B","1 0"
"Cell334","1","B","1 0"
"Cell335","1","B","1 0"
"Cell336","1","A","1 1"
"Cell337","1","A","1 1"
"Cell338","1","B","1 0"
"Cell339","1","A","1 1"
"Cell340","1","B","1 0"
"Cell341","1","B","1 0"
"Cell342","1","B","1 0"
"Cell343","1","B","1 0"
"Cell344","1","A","1 1"
"Cell345","1","A","1 1"
"Cell346","1","B","1 0"
"Cell347","1","B","1 0"
"Cell348","1","A","1 1"
"Cell349","1","B","1 0"
"Cell350","1","A","1 1"
"Cell351","1","B","1 0"
"Cell352","1","A","1 1"
"Cell353","1","A","1 1"
"Cell354","1","A","1 1"
"Cell355","1","B","1 0"
"Cell356","1","B","1 0"
"Cell357","1","A","1 1"
"Cell358","1","A","1 1"
"Cell359","1","B","1 0"
"Cell360","1","B","1 0"
"Cell361","1","B","1 0"
"Cell362","1","A","1 1"
"Cell363","1","A","1 1"
"Cell364","1","A","1 1"
"Cell365","1","A","1 1"
"Cell366","1","A","1 1"
"Cell367","1","A","1 1"
"Cell368","1","B","1 0"
"Cell369","1","A","1 1"
"Cell370","1","B","1 0"
"Cell371","1","A","1 1"
"Cell372","1","B","1 0"
"Cell373","1","B","1 0"
"Cell374","1","A","1 1"
"Cell375","1","B","1 0"
"Cell376","1","B","1 0"
"Cell377","1","B","1 0"
"Cell378","1","B","1 0"
"Cell379","1","B","1 0"
"Cell380","1","B","1 0"
"Cell381","1","A","1 1"
"Cell382","1","B","1 0"
"Cell383","1","B","1 0"
"Cell384","1","B","1 0"
"Cell385","1","A","1 1"
"Cell386","1","B","1 0"
"Cell387","1","B","1 0"
"Cell388","1","A","1 1"
"Cell389","1","B","1 0"
"Cell390","1","B","1 0"
"Cell391","1","B","1 0"
"Cell392","1","A","1 1"
"Cell393","1","B","1 0"
"Cell394","1","B","1 0"
"Cell395","1","A","1 1"
"Cell396","1","B","1 0"
"Cell397","1","B","1 0"
"Cell398","1","B","1 0"
"Cell399","1","A","1 1"
