"","batch","type","cluster"
"W31105","MARS-seq","CMP","MARS-seq 3"
"W31106","MARS-seq","GMP","MARS-seq 1"
"W31107","MARS-seq","MEP","MARS-seq 0"
"W31108","MARS-seq","GMP","MARS-seq 4"
"W31109","MARS-seq","MEP","MARS-seq 0"
"W31110","MARS-seq","GMP","MARS-seq 4"
"W31111","MARS-seq","MEP","MARS-seq 0"
"W31113","MARS-seq","MEP","MARS-seq 3"
"W31114","MARS-seq","MEP","MARS-seq 0"
"W31115","MARS-seq","MEP","MARS-seq 0"
"W31116","MARS-seq","MEP","MARS-seq 0"
"W31117","MARS-seq","GMP","MARS-seq 2"
"W31118","MARS-seq","GMP","MARS-seq 1"
"W31119","MARS-seq","GMP","MARS-seq 2"
"W31120","MARS-seq","MEP","MARS-seq 0"
"W31121","MARS-seq","CMP","MARS-seq 3"
"W31122","MARS-seq","MEP","MARS-seq 0"
"W31123","MARS-seq","MEP","MARS-seq 0"
"W31124","MARS-seq","MEP","MARS-seq 0"
"W31125","MARS-seq","CMP","MARS-seq 3"
"W31126","MARS-seq","MEP","MARS-seq 0"
"W31127","MARS-seq","CMP","MARS-seq 2"
"W31128","MARS-seq","CMP","MARS-seq 3"
"W31129","MARS-seq","CMP","MARS-seq 2"
"W31130","MARS-seq","GMP","MARS-seq 2"
"W31131","MARS-seq","GMP","MARS-seq 4"
"W31132","MARS-seq","MEP","MARS-seq 0"
"W31133","MARS-seq","GMP","MARS-seq 2"
"W31134","MARS-seq","GMP","MARS-seq 2"
"W31136","MARS-seq","MEP","MARS-seq 0"
"W31137","MARS-seq","MEP","MARS-seq 0"
"W31138","MARS-seq","MEP","MARS-seq 0"
"W31139","MARS-seq","MEP","MARS-seq 0"
"W31140","MARS-seq","MEP","MARS-seq 0"
"W31141","MARS-seq","GMP","MARS-seq 1"
"W31142","MARS-seq","MEP","MARS-seq 0"
"W31143","MARS-seq","MEP","MARS-seq 0"
"W31144","MARS-seq","MEP","MARS-seq 0"
"W31145","MARS-seq","GMP","MARS-seq 4"
"W31146","MARS-seq","MEP","MARS-seq 0"
"W31147","MARS-seq","MEP","MARS-seq 0"
"W31148","MARS-seq","GMP","MARS-seq 1"
"W31150","MARS-seq","GMP","MARS-seq 2"
"W31151","MARS-seq","MEP","MARS-seq 0"
"W31152","MARS-seq","GMP","MARS-seq 1"
"W31153","MARS-seq","MEP","MARS-seq 0"
"W31154","MARS-seq","MEP","MARS-seq 0"
"W31155","MARS-seq","CMP","MARS-seq 2"
"W31156","MARS-seq","MEP","MARS-seq 0"
"W31157","MARS-seq","GMP","MARS-seq 2"
"W31158","MARS-seq","GMP","MARS-seq 4"
"W31159","MARS-seq","MEP","MARS-seq 0"
"W31160","MARS-seq","GMP","MARS-seq 2"
"W31161","MARS-seq","MEP","MARS-seq 0"
"W31162","MARS-seq","MEP","MARS-seq 0"
"W31163","MARS-seq","MEP","MARS-seq 0"
"W31164","MARS-seq","GMP","MARS-seq 1"
"W31165","MARS-seq","MEP","MARS-seq 0"
"W31166","MARS-seq","GMP","MARS-seq 1"
"W31167","MARS-seq","MEP","MARS-seq 0"
"W31168","MARS-seq","GMP","MARS-seq 1"
"W31169","MARS-seq","GMP","MARS-seq 1"
"W31170","MARS-seq","GMP","MARS-seq 1"
"W31171","MARS-seq","CMP","MARS-seq 3"
"W31172","MARS-seq","CMP","MARS-seq 0"
"W31173","MARS-seq","CMP","MARS-seq 3"
"W31174","MARS-seq","CMP","MARS-seq 2"
"W31175","MARS-seq","GMP","MARS-seq 2"
"W31176","MARS-seq","MEP","MARS-seq 3"
"W31177","MARS-seq","MEP","MARS-seq 0"
"W31178","MARS-seq","MEP","MARS-seq 0"
"W31179","MARS-seq","GMP","MARS-seq 4"
"W31180","MARS-seq","MEP","MARS-seq 0"
"W31181","MARS-seq","GMP","MARS-seq 4"
"W31182","MARS-seq","GMP","MARS-seq 4"
"W31183","MARS-seq","MEP","MARS-seq 0"
"W31184","MARS-seq","MEP","MARS-seq 0"
"W31185","MARS-seq","MEP","MARS-seq 0"
"W31186","MARS-seq","GMP","MARS-seq 1"
"W31187","MARS-seq","GMP","MARS-seq 2"
"W31188","MARS-seq","CMP","MARS-seq 2"
"W31189","MARS-seq","GMP","MARS-seq 4"
"W31190","MARS-seq","MEP","MARS-seq 0"
"W31191","MARS-seq","CMP","MARS-seq 3"
"W31192","MARS-seq","CMP","MARS-seq 3"
"W31193","MARS-seq","MEP","MARS-seq 0"
"W31194","MARS-seq","MEP","MARS-seq 3"
"W31195","MARS-seq","MEP","MARS-seq 0"
"W31196","MARS-seq","CMP","MARS-seq 3"
"W31197","MARS-seq","CMP","MARS-seq 2"
"W31198","MARS-seq","MEP","MARS-seq 0"
"W31199","MARS-seq","CMP","MARS-seq 2"
"W31200","MARS-seq","MEP","MARS-seq 0"
"W31201","MARS-seq","CMP","MARS-seq 3"
"W31202","MARS-seq","GMP","MARS-seq 1"
"W31203","MARS-seq","GMP","MARS-seq 1"
"W31204","MARS-seq","CMP","MARS-seq 2"
"W31205","MARS-seq","MEP","MARS-seq 0"
"W31206","MARS-seq","MEP","MARS-seq 0"
"W31207","MARS-seq","GMP","MARS-seq 1"
"W31209","MARS-seq","MEP","MARS-seq 0"
"W31210","MARS-seq","GMP","MARS-seq 1"
"W31211","MARS-seq","GMP","MARS-seq 1"
"W31212","MARS-seq","MEP","MARS-seq 0"
"W31213","MARS-seq","MEP","MARS-seq 3"
"W31214","MARS-seq","MEP","MARS-seq 0"
"W31215","MARS-seq","MEP","MARS-seq 0"
"W31217","MARS-seq","MEP","MARS-seq 0"
"W31218","MARS-seq","GMP","MARS-seq 1"
"W31219","MARS-seq","CMP","MARS-seq 2"
"W31220","MARS-seq","MEP","MARS-seq 0"
"W31221","MARS-seq","CMP","MARS-seq 3"
"W31222","MARS-seq","MEP","MARS-seq 0"
"W31223","MARS-seq","CMP","MARS-seq 2"
"W31224","MARS-seq","CMP","MARS-seq 3"
"W31225","MARS-seq","MEP","MARS-seq 0"
"W31226","MARS-seq","GMP","MARS-seq 4"
"W31227","MARS-seq","CMP","MARS-seq 5"
"W31228","MARS-seq","CMP","MARS-seq 2"
"W31229","MARS-seq","MEP","MARS-seq 0"
"W31230","MARS-seq","MEP","MARS-seq 0"
"W31231","MARS-seq","MEP","MARS-seq 0"
"W31232","MARS-seq","MEP","MARS-seq 0"
"W31233","MARS-seq","MEP","MARS-seq 0"
"W31234","MARS-seq","MEP","MARS-seq 0"
"W31236","MARS-seq","MEP","MARS-seq 0"
"W31237","MARS-seq","GMP","MARS-seq 1"
"W31238","MARS-seq","MEP","MARS-seq 0"
"W31239","MARS-seq","GMP","MARS-seq 1"
"W31240","MARS-seq","MEP","MARS-seq 0"
"W31241","MARS-seq","MEP","MARS-seq 0"
"W31242","MARS-seq","GMP","MARS-seq 4"
"W31243","MARS-seq","MEP","MARS-seq 0"
"W31244","MARS-seq","GMP","MARS-seq 2"
"W31245","MARS-seq","GMP","MARS-seq 4"
"W31246","MARS-seq","MEP","MARS-seq 0"
"W31247","MARS-seq","MEP","MARS-seq 0"
"W31248","MARS-seq","MEP","MARS-seq 0"
"W31249","MARS-seq","GMP","MARS-seq 1"
"W31250","MARS-seq","MEP","MARS-seq 0"
"W31251","MARS-seq","GMP","MARS-seq 4"
"W31252","MARS-seq","GMP","MARS-seq 1"
"W31253","MARS-seq","GMP","MARS-seq 2"
"W31254","MARS-seq","GMP","MARS-seq 1"
"W31255","MARS-seq","MEP","MARS-seq 0"
"W31256","MARS-seq","GMP","MARS-seq 2"
"W31257","MARS-seq","CMP","MARS-seq 3"
"W31259","MARS-seq","GMP","MARS-seq 2"
"W31260","MARS-seq","CMP","MARS-seq 2"
"W31262","MARS-seq","MEP","MARS-seq 3"
"W31263","MARS-seq","GMP","MARS-seq 2"
"W31264","MARS-seq","GMP","MARS-seq 4"
"W31265","MARS-seq","GMP","MARS-seq 1"
"W31266","MARS-seq","GMP","MARS-seq 4"
"W31267","MARS-seq","CMP","MARS-seq 2"
"W31268","MARS-seq","CMP","MARS-seq 3"
"W31269","MARS-seq","MEP","MARS-seq 3"
"W31270","MARS-seq","GMP","MARS-seq 4"
"W31271","MARS-seq","MEP","MARS-seq 0"
"W31272","MARS-seq","GMP","MARS-seq 4"
"W31273","MARS-seq","GMP","MARS-seq 4"
"W31274","MARS-seq","CMP","MARS-seq 2"
"W31275","MARS-seq","GMP","MARS-seq 4"
"W31276","MARS-seq","CMP","MARS-seq 3"
"W31277","MARS-seq","CMP","MARS-seq 3"
"W31278","MARS-seq","GMP","MARS-seq 1"
"W31279","MARS-seq","CMP","MARS-seq 3"
"W31280","MARS-seq","MEP","MARS-seq 0"
"W31281","MARS-seq","GMP","MARS-seq 1"
"W31282","MARS-seq","GMP","MARS-seq 2"
"W31283","MARS-seq","MEP","MARS-seq 0"
"W31284","MARS-seq","MEP","MARS-seq 0"
"W31285","MARS-seq","GMP","MARS-seq 2"
"W31286","MARS-seq","GMP","MARS-seq 2"
"W31287","MARS-seq","CMP","MARS-seq 3"
"W31288","MARS-seq","MEP","MARS-seq 3"
"W31289","MARS-seq","MEP","MARS-seq 0"
"W31290","MARS-seq","GMP","MARS-seq 1"
"W31291","MARS-seq","MEP","MARS-seq 0"
"W31292","MARS-seq","MEP","MARS-seq 0"
"W31293","MARS-seq","GMP","MARS-seq 4"
"W31294","MARS-seq","MEP","MARS-seq 0"
"W31295","MARS-seq","GMP","MARS-seq 1"
"W31296","MARS-seq","GMP","MARS-seq 1"
"W31297","MARS-seq","CMP","MARS-seq 3"
"W31298","MARS-seq","MEP","MARS-seq 0"
"W31299","MARS-seq","GMP","MARS-seq 2"
